Suspended_subscribers,CHURN,churn_binary
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
1.0,No,0
,Yes,1
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
1.0,No,0
,No,0
,No,0
,No,0
,Yes,1
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,Yes,1
,No,0
,No,0
,No,0
,No,0
,Yes,1
,No,0
,No,0
,Yes,1
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
3.0,No,0
,No,0
,No,0
,No,0
,No,0
1.0,No,0
,No,0
,No,0
,No,0
1.0,No,0
,No,0
1.0,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,Yes,1
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,Yes,1
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,Yes,1
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,Yes,1
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,Yes,1
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,Yes,1
,Yes,1
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,Yes,1
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,Yes,1
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,Yes,1
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,Yes,1
,No,0
,No,0
,No,0
,No,0
,Yes,1
1.0,No,0
,No,0
,Yes,1
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,Yes,1
,No,0
,No,0
,No,0
,No,0
,Yes,1
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
1.0,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
1.0,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,Yes,1
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
1.0,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,Yes,1
,No,0
1.0,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,Yes,1
,No,0
,No,0
,No,0
,Yes,1
,No,0
1.0,No,0
,Yes,1
,No,0
,No,0
,No,0
,No,0
,Yes,1
,Yes,1
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
1.0,No,0
2.0,No,0
,No,0
,Yes,1
,No,0
,No,0
,No,0
,No,0
,No,0
,Yes,1
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,Yes,1
,No,0
,No,0
,Yes,1
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
1.0,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,Yes,1
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,Yes,1
,Yes,1
,No,0
,No,0
,No,0
,No,0
1.0,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,Yes,1
,No,0
,No,0
,No,0
,No,0
,No,0
,Yes,1
,No,0
,Yes,1
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
1.0,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,Yes,1
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
1.0,No,0
1.0,No,0
,Yes,1
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,Yes,1
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,Yes,1
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
1.0,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,Yes,1
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,Yes,1
,No,0
,No,0
,Yes,1
,No,0
,No,0
,No,0
,No,0
1.0,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,Yes,1
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,Yes,1
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,Yes,1
,No,0
,Yes,1
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,Yes,1
,No,0
,No,0
,No,0
,No,0
,No,0
,Yes,1
,No,0
,No,0
,No,0
,No,0
,No,0
,Yes,1
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,Yes,1
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,Yes,1
,No,0
,No,0
,No,0
,No,0
,Yes,1
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
1.0,No,0
,No,0
,No,0
,No,0
,Yes,1
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,Yes,1
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,Yes,1
1.0,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,Yes,1
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
2.0,No,0
,No,0
,No,0
,No,0
,Yes,1
,No,0
,No,0
,No,0
,No,0
,No,0
,Yes,1
,No,0
,No,0
,No,0
,No,0
,Yes,1
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,Yes,1
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,Yes,1
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
7.0,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,Yes,1
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,Yes,1
1.0,No,0
,No,0
,No,0
,No,0
,Yes,1
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,Yes,1
,No,0
,No,0
2.0,No,0
,No,0
,Yes,1
,No,0
,No,0
,No,0
,Yes,1
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,Yes,1
,No,0
,No,0
,Yes,1
,No,0
,No,0
,No,0
,No,0
,No,0
,Yes,1
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
1.0,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,Yes,1
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
1.0,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
1.0,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,Yes,1
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
2.0,No,0
,No,0
,No,0
,No,0
,No,0
,Yes,1
,No,0
,No,0
,No,0
,No,0
,No,0
,Yes,1
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,Yes,1
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
1.0,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,Yes,1
,No,0
,No,0
,No,0
,No,0
,No,0
4.0,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,Yes,1
,No,0
,No,0
,Yes,1
1.0,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
1.0,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,Yes,1
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
1.0,No,0
,Yes,1
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
1.0,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,Yes,1
,No,0
,No,0
,No,0
,Yes,1
,No,0
,No,0
,No,0
,No,0
,Yes,1
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
1.0,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,Yes,1
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,Yes,1
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
1.0,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
1.0,No,0
,No,0
,No,0
,No,0
,Yes,1
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,Yes,1
,No,0
,No,0
,No,0
,No,0
,No,0
,Yes,1
,No,0
1.0,No,0
,No,0
,No,0
,Yes,1
,No,0
,Yes,1
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,Yes,1
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
1.0,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,Yes,1
,No,0
,No,0
,No,0
,No,0
,No,0
1.0,No,0
,Yes,1
,No,0
,No,0
,No,0
,No,0
1.0,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,Yes,1
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
1.0,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,Yes,1
,No,0
,No,0
,Yes,1
,Yes,1
,No,0
,No,0
,No,0
,No,0
,No,0
1.0,No,0
1.0,Yes,1
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
1.0,Yes,1
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
1.0,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
2.0,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
2.0,No,0
,No,0
,No,0
,No,0
1.0,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,Yes,1
,Yes,1
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
1.0,No,0
,No,0
,No,0
,No,0
1.0,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
1.0,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,Yes,1
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,Yes,1
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,Yes,1
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,Yes,1
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
1.0,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
1.0,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
1.0,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,Yes,1
,No,0
,No,0
1.0,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,Yes,1
,Yes,1
,No,0
,No,0
,No,0
,No,0
,Yes,1
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,Yes,1
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
1.0,No,0
,No,0
,No,0
,No,0
,No,0
1.0,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
1.0,No,0
,No,0
,No,0
2.0,No,0
,No,0
,No,0
,No,0
,No,0
,Yes,1
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,Yes,1
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,Yes,1
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,Yes,1
,No,0
,No,0
1.0,Yes,1
,No,0
,No,0
,No,0
,No,0
,Yes,1
,No,0
,No,0
,No,0
,Yes,1
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
1.0,No,0
,No,0
2.0,No,0
,No,0
,No,0
,No,0
,Yes,1
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
1.0,No,0
,Yes,1
,No,0
,No,0
3.0,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,Yes,1
1.0,No,0
1.0,No,0
1.0,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,Yes,1
,No,0
,No,0
,No,0
4.0,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
3.0,Yes,1
,Yes,1
6.0,No,0
,No,0
,No,0
,No,0
,No,0
1.0,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,Yes,1
1.0,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,Yes,1
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,Yes,1
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
1.0,No,0
,No,0
,No,0
,No,0
10.0,No,0
2.0,No,0
1.0,No,0
2.0,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,Yes,1
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,Yes,1
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
3.0,No,0
,No,0
,Yes,1
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
1.0,No,0
,No,0
,No,0
5.0,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,Yes,1
,No,0
1.0,No,0
,No,0
,No,0
,No,0
2.0,No,0
,No,0
,No,0
,Yes,1
,No,0
,No,0
1.0,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
1.0,No,0
,Yes,1
1.0,Yes,1
,No,0
,No,0
,No,0
,No,0
,No,0
8.0,No,0
,No,0
,No,0
,No,0
,No,0
,Yes,1
,No,0
6.0,No,0
1.0,No,0
,No,0
1.0,No,0
,No,0
,No,0
1.0,Yes,1
9.0,No,0
,No,0
,No,0
,No,0
1.0,No,0
,No,0
,No,0
,No,0
,No,0
,Yes,1
,No,0
,No,0
,No,0
1.0,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,Yes,1
,No,0
,No,0
,No,0
,No,0
,Yes,1
,No,0
,No,0
,No,0
1.0,No,0
,No,0
1.0,No,0
,No,0
1.0,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
1.0,No,0
,No,0
,Yes,1
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,Yes,1
,No,0
,No,0
,No,0
,No,0
,No,0
,Yes,1
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
1.0,No,0
,No,0
,Yes,1
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,Yes,1
,Yes,1
3.0,No,0
,Yes,1
,Yes,1
,Yes,1
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
2.0,No,0
,Yes,1
,No,0
,No,0
,No,0
,No,0
6.0,No,0
,No,0
,No,0
,Yes,1
,No,0
,No,0
,No,0
,No,0
1.0,No,0
,No,0
,Yes,1
,No,0
,No,0
,No,0
,Yes,1
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
1.0,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
2.0,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
17.0,No,0
,No,0
,No,0
,No,0
1.0,No,0
,No,0
,No,0
1.0,No,0
1.0,No,0
,Yes,1
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,Yes,1
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
1.0,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,Yes,1
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,Yes,1
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
1.0,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,Yes,1
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,Yes,1
,No,0
,No,0
,Yes,1
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
1.0,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,Yes,1
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,Yes,1
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
